disease_2,disease_name,category,count,co_occurrence,odds_ratio,p_value,95_ci_lower,95_ci_upper
531 ,Gastric ulcer,Diseases of the digestive system,11395,1890,40.98,< 0.0001,38.83,43.31
574 ,Cholelithiasis,Diseases of the digestive system,7292,721,19.71,< 0.0001,18.18,21.35
533 ,"Peptic ulcer, site unspecified",Diseases of the digestive system,32041,2247,16.08,< 0.0001,15.32,16.88
535 ,Gastritis and duodenitis,Diseases of the digestive system,37416,2227,13.41,< 0.0001,12.77,14.08
564 ,"Functional digestive disorders,...",Diseases of the digestive system,34323,2035,13.05,< 0.0001,12.41,13.72
530 ,Diseases of esophagus,Diseases of the digestive system,1908,131,12.46,2.796399e-91,10.34,14.9
535.4 ,Other specified gastritis,Diseases of the digestive system,11258,655,10.99,< 0.0001,10.11,11.92
532.00 ,"Acute duodenal ulcer with hemorrhage,...",Diseases of the digestive system,2020,117,10.38,1.413785e-73,8.53,12.53
041.8 ,Other specified bacterial infections,Infectious and parasitic diseases,2739,148,9.67,1.60288e-88,8.13,11.43
536 ,Disorders of function of stomach,Diseases of the digestive system,28653,1359,9.5,< 0.0001,8.95,10.08
532.9 ,"Duodenal ulcer, unspecified as...",Diseases of the digestive system,6439,322,9.06,2.46922e-181,8.06,10.15
592 ,Calculus of kidney and ureter,Diseases of the genitourinary...,8095,394,8.86,1.04987e-217,7.97,9.83
597 ,"Urethritis, not sexually transmitted,...",Diseases of the genitourinary...,3400,159,8.31,6.504052e-86,7.03,9.76
532.30 ,Acute duodenal ulcer without mention...,Diseases of the digestive system,4970,229,8.24,8.07995e-122,7.17,9.42
590 ,Infections of kidney,Diseases of the genitourinary...,2744,125,8.06,1.335323e-66,6.67,9.66
789 ,Other symptoms involving abdomen...,"Comorbidities, signs, and ill-defined...",9787,431,8,2.24199e-221,7.23,8.83
574.0 ,Calculus of gallbladder with acute...,Diseases of the digestive system,2591,116,7.91,3.839546e-61,6.5,9.54
558 ,Other and unspecified noninfectious...,Diseases of the digestive system,14355,612,7.87,1.09979e-307,7.22,8.55
571 ,Chronic liver disease and cirrhosis,Diseases of the digestive system,9788,416,7.7,6.30085e-208,6.95,8.51
532.70 ,Chronic duodenal ulcer without...,Diseases of the digestive system,12935,528,7.46,3.7243e-256,6.8,8.15
428 ,Heart failure,Diseases of the circulatory system,1839,77,7.35,3.666306e-39,5.77,9.24
530.2 ,Ulcer of esophagus,Diseases of the digestive system,4315,178,7.3,2.225366e-87,6.24,8.5
455 ,Hemorrhoids,Diseases of the circulatory system,11645,464,7.23,1.39123e-220,6.56,7.95
714 ,Rheumatoid arthritis and other...,Diseases of the musculoskeletal...,2175,87,7.01,1.632099e-42,5.59,8.7
719 ,Other and unspecified disorders...,Diseases of the musculoskeletal...,2464,96,6.83,8.810412e-46,5.5,8.38
715 ,Osteoarthrosis and allied disorders,Diseases of the musculoskeletal...,19099,700,6.77,2.64e-312,6.25,7.32
625 ,Pain and other symptoms associated...,Diseases of the genitourinary...,1958,75,6.69,1.183278e-35,5.24,8.44
531.9 ,"Gastric ulcer, unspecified as...",Diseases of the digestive system,5235,197,6.64,1.049228e-89,5.72,7.67
533.0 ,"Peptic ulcer, site unspecified...",Diseases of the digestive system,2614,96,6.42,1.188689e-43,5.17,7.88
070.3 ,Viral hepatitis B without mention...,Infectious and parasitic diseases,4073,149,6.42,1.246073e-66,5.41,7.58
427 ,Cardiac dysrhythmias,Diseases of the circulatory system,11037,389,6.31,7.67538e-167,5.68,7
413 ,Angina pectoris,Diseases of the circulatory system,4718,169,6.3,4.794278e-74,5.36,7.35
070 ,Viral hepatitis,Infectious and parasitic diseases,3430,123,6.28,2.269587e-54,5.19,7.52
300 ,Neurotic disorders,Mental disorders,39591,1238,6.03,< 0.0001,5.67,6.41
721 ,Spondylosis and allied disorders,Diseases of the musculoskeletal...,9255,312,5.99,1.00619e-128,5.32,6.71
473 ,Chronic sinusitis,Diseases of the respiratory system,3592,122,5.93,1.701489e-51,4.91,7.12
491 ,Chronic bronchitis,Diseases of the respiratory system,12804,421,5.89,7.86751e-170,5.32,6.5
353 ,Nerve root and plexus disorders,Diseases of the nervous system,3594,119,5.78,3.674146e-49,4.77,6.94
242 ,Thyrotoxicosis with or without...,"Endocrine, nutritional and metabolic...",4742,154,5.68,4.606003e-62,4.8,6.68
723 ,Other disorders of cervical region,Diseases of the musculoskeletal...,1845,60,5.64,3.205917e-25,4.28,7.3
574.2 ,Calculus of gallbladder without...,Diseases of the digestive system,7668,245,5.63,1.797114e-96,4.93,6.4
783.0 ,Anorexia,"Comorbidities, signs, and ill-defined...",2540,78,5.32,1.13064e-30,4.19,6.68
414 ,Other forms of chronic ischemic...,Diseases of the circulatory system,7360,223,5.32,1.18118e-83,4.62,6.08
530.1 ,Esophagitis,Diseases of the digestive system,41158,1148,5.3,< 0.0001,4.97,5.64
306 ,Physiological malfunction arising...,Mental disorders,4025,121,5.23,9.587422e-46,4.32,6.27
564.1 ,Irritable bowel syndrome,Diseases of the digestive system,85642,2133,5.18,< 0.0001,4.93,5.44
716 ,Other and unspecified arthropathies,Diseases of the musculoskeletal...,8486,250,5.18,3.851397e-91,4.54,5.88
532.90 ,"Duodenal ulcer, unspecified as...",Diseases of the digestive system,24957,706,5.16,3.57511e-248,4.77,5.58
571.4 ,Chronic hepatitis,Diseases of the digestive system,61051,1594,5.16,< 0.0001,4.88,5.45
595 ,Cystitis,Diseases of the genitourinary...,24381,685,5.12,5.55675e-239,4.72,5.54
354 ,Mononeuritis of upper limb and...,Diseases of the nervous system,2265,67,5.12,1.093286e-25,3.95,6.53
533.9 ,"Peptic ulcer, site unspecified,...",Diseases of the digestive system,41518,1115,5.08,< 0.0001,4.76,5.41
402 ,Hypertensive heart disease,Diseases of the circulatory system,16875,475,5.03,3.19883e-165,4.57,5.53
715.0 ,"Osteoarthrosis, generalized",Diseases of the musculoskeletal...,3605,104,5,4.957604e-38,4.07,6.09
300.0 ,Anxiety states,Mental disorders,54734,1409,4.99,< 0.0001,4.71,5.28
240 ,Simple and unspecified goiter,"Endocrine, nutritional and metabolic...",2468,71,4.97,2.013093e-26,3.87,6.31
280 ,Iron deficiency anemias,Diseases of the blood and blood-forming...,8734,247,4.96,1.702701e-86,4.35,5.64
346 ,Migraine,Diseases of the nervous system,8148,230,4.94,1.791498e-80,4.31,5.65
211.3 ,Benign neoplasm of colon,Neoplasms,4164,117,4.87,1.706146e-41,4.02,5.87
285 ,Other and unspecified anemias,Diseases of the blood and blood-forming...,4353,121,4.82,2.113966e-42,3.99,5.78
599 ,Other disorders of urethra and...,Diseases of the genitourinary...,9997,271,4.76,8.60468e-91,4.19,5.38
477 ,Allergic rhinitis,Diseases of the respiratory system,25467,665,4.73,7.77798e-215,4.36,5.13
577.0 ,Acute pancreatitis,Diseases of the digestive system,3702,98,4.58,5.356796e-33,3.7,5.6
780.5 ,Sleep disturbance,"Comorbidities, signs, and ill-defined...",41200,1008,4.56,7.67977e-307,4.26,4.87
211.5 ,Benign neoplasm of liver and biliary...,Neoplasms,5139,135,4.55,1.77102e-44,3.8,5.41
493 ,Asthma,Diseases of the respiratory system,14220,366,4.54,7.64439e-116,4.08,5.05
583 ,"Nephritis and nephropathy, not...",Diseases of the genitourinary...,4478,117,4.52,1.509027e-38,3.73,5.44
386 ,Vertiginous syndromes and other...,Diseases of the nervous system,15400,393,4.51,3.11558e-123,4.07,5
274 ,Gout,"Endocrine, nutritional and metabolic...",8863,229,4.51,4.14415e-73,3.93,5.15
722 ,Intervertebral disc disorders,Diseases of the musculoskeletal...,7329,190,4.51,4.159242e-61,3.88,5.22
307.4 ,Specific disorders of sleep of...,Mental disorders,5319,136,4.43,1.543205e-43,3.7,5.26
733 ,Other disorders of bone and cartilage,Diseases of the musculoskeletal...,3707,95,4.42,5.541184e-31,3.57,5.43
780 ,General symptoms,"Comorbidities, signs, and ill-defined...",4695,120,4.42,1.362799e-38,3.65,5.31
533.70 ,Chronic peptic ulcer of unspecified...,Diseases of the digestive system,19260,477,4.41,8.34659e-145,4.01,4.84
799.3 ,"Debility, unspecified","Comorbidities, signs, and ill-defined...",2499,64,4.41,2.124894e-21,3.38,5.66
531.30 ,Acute gastric ulcer without mention...,Diseases of the digestive system,7793,191,4.26,8.744832e-58,3.66,4.92
728 ,"Disorders of muscle, ligament,...",Diseases of the musculoskeletal...,18745,448,4.24,1.42152e-130,3.84,4.67
535.5 ,Unspecified gastritis & gastroduodenitis,Diseases of the digestive system,26057,614,4.23,1.30724e-176,3.89,4.6
241 ,Nontoxic nodular goiter,"Endocrine, nutritional and metabolic...",2243,55,4.22,8.263195e-18,3.16,5.51
250 ,Diabetes mellitus,"Endocrine, nutritional and metabolic...",22781,532,4.17,3.91639e-151,3.81,4.55
578.1 ,Blood in stool,Diseases of the digestive system,2444,59,4.15,1.121209e-18,3.15,5.38
533.3 ,"Peptic ulcer, site unspecified,...",Diseases of the digestive system,2297,55,4.11,2.270131e-17,3.09,5.38
627 ,Menopausal and postmenopausal...,Diseases of the genitourinary...,15804,369,4.11,1.16111e-104,3.69,4.57
578.9 ,Hemorrhage of gastrointestinal...,Diseases of the digestive system,9339,219,4.08,8.027708e-63,3.55,4.67
786.51 ,Precordial pain,"Comorbidities, signs, and ill-defined...",7404,174,4.07,2.471513e-50,3.48,4.74
272 ,Disorders of lipoid metabolism,"Endocrine, nutritional and metabolic...",14625,338,4.06,9.216432e-95,3.62,4.53
531.70 ,Chronic gastric ulcer without...,Diseases of the digestive system,10018,230,3.99,2.651436e-64,3.48,4.56
531.00 ,"Acute gastric ulcer with hemorrhage,...",Diseases of the digestive system,2850,66,3.98,8.709244e-20,3.07,5.08
535.0 ,Acute gastritis,Diseases of the digestive system,48449,1024,3.91,8.50389e-262,3.66,4.18
402.11 ,Benign hypertensive heart disease...,Diseases of the circulatory system,2984,68,3.91,5.626978e-20,3.03,4.98
571.5 ,Cirrhosis of liver without mention...,Diseases of the digestive system,7623,170,3.86,2.757887e-46,3.29,4.5
924 ,Contusion of lower limb and of...,Injury and poisoning,5104,114,3.85,1.262767e-31,3.16,4.64
560.1 ,Paralytic ileus,Diseases of the digestive system,3668,82,3.84,3.094355e-23,3.05,4.79
715.9 ,"Osteoarthrosis, unspecified whether...",Diseases of the musculoskeletal...,21617,469,3.84,9.22084e-122,3.49,4.22
617 ,Endometriosis,Diseases of the genitourinary...,2785,62,3.82,6.951844e-18,2.92,4.92
721.4 ,Thoracic or lumbar spondylosis...,Diseases of the musculoskeletal...,1985,44,3.8,0.0000000000004272343,2.75,5.12
