disease_2,disease_name,category,count,co_occurrence,odds_ratio,p_value,95_ci_lower,95_ci_upper
290.21 ,Senile dementia with depressive...,Mental disorders,1656,388,62.87,< 0.0001,55.47,71.21
290.2 ,Senile dementia with delusional...,Mental disorders,1155,213,42.86,3.42332e-246,36.53,50.16
294.8 ,Other persistent mental disorders...,Mental disorders,1010,122,25.03,2.07771e-117,20.46,30.41
290.9 ,Unspecified senile psychotic condition,Mental disorders,2761,307,24.67,4.45323e-286,21.68,28.01
290.10 ,"Presenile dementia, uncomplicated",Mental disorders,1090,123,23.18,1.13723e-114,18.97,28.13
294.9 ,Unspecified persistent mental...,Mental disorders,1510,145,19.52,6.68731e-125,16.25,23.32
290.40 ,"Vascular dementia, uncomplicated",Mental disorders,1697,161,19.39,7.69569e-138,16.29,22.96
290.0 ,"Senile dementia, uncomplicated",Mental disorders,11445,803,18.98,< 0.0001,17.38,20.71
331.0 ,Alzheimer's disease,Diseases of the nervous system,2250,205,18.89,3.8471e-172,16.19,21.95
290 ,Senile and presenile organic psychotic...,Mental disorders,4198,270,13.28,8.09086e-188,11.61,15.13
331.2 ,Senile degeneration of brain,Diseases of the nervous system,1399,95,13.11,3.614031e-68,10.49,16.22
294.1 ,Dementia in conditions classified...,Mental disorders,1440,92,12.26,9.772476e-64,9.78,15.22
296.30 ,"Major depressive affective disorder,...",Mental disorders,1461,85,11.07,9.958024e-56,8.75,13.83
298.9 ,Unspecified psychosis,Mental disorders,2048,116,10.88,2.197919e-74,8.91,13.2
296.20 ,"Major depressive affective disorder,...",Mental disorders,2084,110,10.07,1.859412e-67,8.2,12.27
331.9 ,"Cerebral degeneration, unspecified",Diseases of the nervous system,1296,66,9.54,4.826851e-40,7.31,12.27
331.3 ,Communicating hydrocephalus,Diseases of the nervous system,1179,55,8.66,1.047488e-31,6.46,11.39
332.1 ,Secondary parkinsonism,Diseases of the nervous system,7410,301,8.23,2.86012e-154,7.26,9.32
133.0 ,Scabies,Infectious and parasitic diseases,5310,218,8.05,6.95522e-112,6.96,9.29
707.0 ,Decubitus ulcer,Diseases of the skin and subcutaneous...,4799,181,7.26,7.307102e-87,6.19,8.48
332.0 ,Paralysis agitans,Diseases of the nervous system,12580,405,6.71,6.55742e-174,6.01,7.48
300.01 ,Panic disorder without agoraphobia,Mental disorders,1101,37,6.11,3.428299e-17,4.27,8.5
780.0 ,Alteration of consciousness,"Comorbidities, signs, and ill-defined...",4167,125,5.6,1.749329e-49,4.63,6.72
307.42 ,Persistent disorder of initiating...,Mental disorders,5086,151,5.59,4.629053e-59,4.7,6.61
296.90 ,Unspecified episodic mood disorder,Mental disorders,2243,68,5.55,9.223612e-28,4.28,7.09
296.3 ,"Major depressive disorder, recurrent...",Mental disorders,1026,31,5.46,0.0000000000001924717,3.68,7.82
437.8 ,Other ill-defined cerebrovascular...,Diseases of the circulatory system,3097,91,5.42,1.179635e-35,4.33,6.7
296 ,Disorganized type,Mental disorders,1698,48,5.13,7.82786e-19,3.75,6.85
332 ,Parkinson's disease,Diseases of the nervous system,4016,108,4.97,1.103254e-38,4.05,6.04
728.2 ,"Muscular wasting and disuse atrophy,...",Diseases of the musculoskeletal...,1666,45,4.89,5.009932e-17,3.54,6.59
311 ,"Depressive disorder, not elsewhere...",Mental disorders,6084,153,4.71,7.665611e-51,3.96,5.56
