disease_2,disease_name,category,count,co_occurrence,odds_ratio,p_value,95_ci_lower,95_ci_upper
414 ,Other forms of chronic ischemic...,Diseases of the circulatory system,168,29,12.26,1.045688e-19,7.64,19.12
402 ,Hypertensive heart disease,Diseases of the circulatory system,347,52,12.16,2.245522e-32,8.41,17.36
491 ,Chronic bronchitis,Diseases of the respiratory system,223,36,11.83,2.422498e-23,7.72,17.75
533 ,"Peptic ulcer, site unspecified",Diseases of the digestive system,192,30,10.93,4.40434e-19,6.89,16.87
716.9 ,"Arthropathy, unspecified",Diseases of the musculoskeletal...,173,25,9.64,0.000000000000003408064,5.85,15.34
493 ,Asthma,Diseases of the respiratory system,134,17,7.88,0.0000000009432651,4.33,13.57
401 ,Essential hypertension,Diseases of the circulatory system,416,40,6.59,1.795861e-17,4.43,9.61
535 ,Gastritis and duodenitis,Diseases of the digestive system,158,17,6.52,0.000000012165692,3.6,11.15
290 ,Senile and presenile organic psychotic...,Mental disorders,236,23,6.03,0.0000000001973951,3.63,9.63
366 ,Cataract,Diseases of the nervous system,139,14,5.95,0.000000570727,3.09,10.66
466 ,Acute bvronchitis and bronchiolitis,Diseases of the respiratory system,193,18,5.58,0.000000042400067,3.14,9.37
429.9 ,"Heart disease, unspecified",Diseases of the circulatory system,206,18,5.18,0.00000011571744,2.93,8.69
692 ,Contact dermatitis and other eczema,Diseases of the skin and subcutaneous...,160,14,5.08,0.0000031260835,2.65,9.06
250.0 ,Diabetes Mellitus w/m of complication,"Endocrine, nutritional and metabolic...",152,12,4.49,0.0000454469,2.22,8.31
715 ,Osteoarthrosis and allied disorders,Diseases of the musculoskeletal...,180,14,4.46,0.0000123295,2.33,7.92
733.0 ,Osteoporosis,Diseases of the musculoskeletal...,370,27,4.45,0.0000000032054613,2.79,6.85
780.5 ,Sleep disturbance,"Comorbidities, signs, and ill-defined...",226,17,4.36,0.0000021930896,2.43,7.39
820 ,Fracture of neck of femur,Injury and poisoning,130,10,4.32,0.0002452886,1.98,8.43
465 ,Acute upper respiratory infections...,Diseases of the respiratory system,342,23,3.97,0.00000023674847,2.41,6.3
564 ,"Functional digestive disorders,...",Diseases of the digestive system,340,21,3.58,0.0000032726334,2.12,5.76
428 ,Heart failure,Diseases of the circulatory system,219,12,3.01,0.0013294593,1.5,5.52
372.1 ,Chronic conjunctivitis,Diseases of the nervous system,263,14,2.94,0.0007080763,1.55,5.18
250 ,Diabetes mellitus,"Endocrine, nutritional and metabolic...",188,10,2.89,0.0041114022,1.34,5.58
533.9 ,"Peptic ulcer, site unspecified,...",Diseases of the digestive system,161,8,2.67,0.0145566926,1.11,5.51
374.05 ,Trichiasis of eyelid without entropion,Diseases of the nervous system,183,9,2.65,0.0104367633,1.17,5.27
691.8 ,Other atopic dermatitis and related...,Diseases of the skin and subcutaneous...,143,7,2.61,0.0233457609,1.02,5.66
729.4 ,"Fasciitis, unspecified",Diseases of the musculoskeletal...,229,11,2.6,0.0057399215,1.25,4.87
536.8 ,Dyspepsia and other specified...,Diseases of the digestive system,751,31,2.38,0.0000829403,1.55,3.57
721.90 ,"Spondylosis of unspecified site,...",Diseases of the musculoskeletal...,158,7,2.35,0.0373463141,0.91,5.07
276.5 ,Volume depletion,"Endocrine, nutritional and metabolic...",138,6,2.3,0.0560740786,0.82,5.24
460 ,Acute nasopharyngitis [common...,Diseases of the respiratory system,1113,42,2.25,0.0000247044,1.54,3.24
719.4 ,Pain in joint,Diseases of the musculoskeletal...,141,6,2.24,0.0609938187,0.8,5.12
434 ,Occlusion of cerebral arteries,Diseases of the circulatory system,167,7,2.22,0.0479580214,0.86,4.78
402.9 ,Hypertensive heart disease unspecified,Diseases of the circulatory system,245,10,2.18,0.0305461892,1.01,4.18
414.0 ,Coronary atherosclerosis,Diseases of the circulatory system,451,18,2.18,0.0044940164,1.25,3.61
780.0 ,Alteration of consciousness,"Comorbidities, signs, and ill-defined...",195,8,2.17,0.0591183103,0.91,4.47
438 ,Late effects of cerebrovascular...,Diseases of the circulatory system,820,31,2.16,0.0004836794,1.4,3.23
463 ,Acute tonsillitis,Diseases of the respiratory system,378,15,2.15,0.011846993,1.16,3.7
372.10 ,"Chronic conjunctivitis, unspecified",Diseases of the nervous system,741,28,2.13,0.0007775711,1.36,3.24
780.2 ,Syncope and collapse,"Comorbidities, signs, and ill-defined...",174,7,2.12,0.0871034484,0.83,4.57
272.4 ,Other and unspecified hyperlipidemia,"Endocrine, nutritional and metabolic...",176,7,2.1,0.0888185147,0.82,4.51
110.4 ,Dermatophytosis of foot,Infectious and parasitic diseases,178,7,2.07,0.0906699408,0.81,4.46
486 ,"Pneumonia, organism unspecified",Diseases of the respiratory system,883,32,2.06,0.0007564398,1.35,3.07
578.9 ,Hemorrhage of gastrointestinal...,Diseases of the digestive system,394,15,2.05,0.0142641121,1.11,3.53
535.0 ,Acute gastritis,Diseases of the digestive system,185,7,1.99,0.0982003953,0.77,4.27
368.13 ,Visual discomfort,Diseases of the nervous system,134,5,1.95,0.1938684833,0.61,4.75
891.0 ,"Open wound of knee, leg [except...",Injury and poisoning,189,7,1.94,0.1032176486,0.76,4.18
789.0 ,Abdominal pain,"Comorbidities, signs, and ill-defined...",1368,45,1.93,0.000412983,1.33,2.75
436 ,"Acute, but ill-defined, cerebrovascular...",Diseases of the circulatory system,459,16,1.87,0.0241696282,1.03,3.17
707.0 ,Decubitus ulcer,Diseases of the skin and subcutaneous...,495,17,1.84,0.0282986632,1.04,3.08
464.10 ,Acute tracheitis without mention...,Diseases of the respiratory system,441,15,1.81,0.0346701485,0.98,3.12
494 ,Bronchiectasis,Diseases of the respiratory system,146,5,1.78,0.2160580215,0.56,4.33
599.0 ,"Urinary tract infection, site...",Diseases of the genitourinary...,1284,39,1.72,0.0062084582,1.16,2.48
715.9 ,"Osteoarthrosis, unspecified whether...",Diseases of the musculoskeletal...,181,6,1.72,0.1755065061,0.61,3.91
300.00 ,"Anxiety state, unspecified",Mental disorders,280,9,1.68,0.1269179269,0.75,3.32
715.16 ,"Osteoarthrosis, localized, primary,...",Diseases of the musculoskeletal...,185,6,1.68,0.1845571318,0.6,3.82
785.1 ,Palpitations,"Comorbidities, signs, and ill-defined...",252,8,1.65,0.1646392758,0.69,3.39
564.0 ,Constipation,Diseases of the digestive system,2159,60,1.64,0.0030552765,1.17,2.28
724.3 ,Sciatica,Diseases of the musculoskeletal...,254,8,1.64,0.167523354,0.69,3.36
274.0 ,"Gouty arthropathy, unspecified","Endocrine, nutritional and metabolic...",159,5,1.63,0.2477825616,0.51,3.95
372.00 ,"Acute conjunctivitis, unspecified",Diseases of the nervous system,389,12,1.62,0.1312254266,0.81,2.94
366.10 ,"Senile cataract, unspecified",Diseases of the nervous system,559,17,1.61,0.0811104468,0.91,2.7
250.00 ,Diabetes mellitus without mention...,"Endocrine, nutritional and metabolic...",543,16,1.55,0.1087408233,0.86,2.63
536.9 ,Unspecified functional disorder...,Diseases of the digestive system,1445,40,1.54,0.0224023179,1.04,2.22
465.8 ,Acute upper respiratory infections...,Diseases of the respiratory system,341,10,1.53,0.2278066331,0.71,2.92
496 ,"Chronic airway obstruction, not...",Diseases of the respiratory system,841,24,1.53,0.0666214884,0.94,2.38
490 ,"Bronchitis, not specified as acute...",Diseases of the respiratory system,421,12,1.49,0.2048386505,0.75,2.7
787.3 ,"Flatulence, eructation, and gas...","Comorbidities, signs, and ill-defined...",349,10,1.49,0.2342596307,0.69,2.84
427.31 ,Atrial fibrillation,Diseases of the circulatory system,245,7,1.48,0.3437849193,0.58,3.16
724.5 ,"Backache, unspecified",Diseases of the musculoskeletal...,716,20,1.48,0.1208709806,0.87,2.38
729.1 ,"Myalgia and myositis, unspecified",Diseases of the musculoskeletal...,531,15,1.48,0.1473798468,0.8,2.54
428.9 ,"Heart failure, unspecified",Diseases of the circulatory system,463,13,1.47,0.2256874429,0.76,2.61
729.2 ,"Neuralgia, neuritis, and radiculitis,...",Diseases of the musculoskeletal...,391,11,1.46,0.2597351576,0.71,2.72
780.52 ,"Insomnia, unspecified","Comorbidities, signs, and ill-defined...",724,20,1.46,0.1236176761,0.86,2.36
466.1 ,Acute bronchiolitis,Diseases of the respiratory system,213,6,1.45,0.3193321327,0.52,3.28
595.0 ,Acute cystitis,Diseases of the genitourinary...,358,10,1.45,0.2434403749,0.68,2.77
682.9 ,Cellulitis and abscess of unspecified...,Diseases of the skin and subcutaneous...,393,11,1.45,0.2609375335,0.71,2.7
719.40 ,"Pain in joint, site unspecified",Diseases of the musculoskeletal...,367,10,1.41,0.3331157991,0.66,2.69
386.9 ,Unspecified vertiginous syndromes...,Diseases of the nervous system,184,5,1.39,0.4167820616,0.44,3.38
564.1 ,Irritable bowel syndrome,Diseases of the digestive system,336,9,1.38,0.3168766016,0.62,2.72
009.0 ,"Infectious colitis, enteritis,...",Infectious and parasitic diseases,186,5,1.38,0.4208800396,0.44,3.34
274.9 ,"Gout, unspecified","Endocrine, nutritional and metabolic...",187,5,1.37,0.4229807379,0.43,3.32
290.0 ,"Senile dementia, uncomplicated",Mental disorders,726,19,1.37,0.2082591118,0.8,2.23
708.9 ,"Urticaria, unspecified",Diseases of the skin and subcutaneous...,303,8,1.36,0.3958954771,0.57,2.78
715.36 ,"Osteoarthrosis, localized, not...",Diseases of the musculoskeletal...,264,7,1.36,0.3695618796,0.53,2.91
461.9 ,"Acute sinusitis, unspecified",Diseases of the respiratory system,151,4,1.35,0.5455261077,0.36,3.61
564.9 ,Unspecified functional disorder...,Diseases of the digestive system,739,19,1.34,0.2148361614,0.78,2.19
493.90 ,"Asthma, unspecified type, unspecified",Diseases of the respiratory system,431,11,1.32,0.3722756569,0.64,2.45
491.20 ,Obstructive chronic bronchitis...,Diseases of the respiratory system,195,5,1.31,0.4409236849,0.42,3.18
780.6 ,Fever,"Comorbidities, signs, and ill-defined...",800,20,1.3,0.2844040555,0.77,2.1
780.4 ,Dizziness and giddiness,"Comorbidities, signs, and ill-defined...",1790,43,1.29,0.1526530133,0.89,1.85
428.0 ,"Congestive heart failure, unspecified",Diseases of the circulatory system,814,20,1.28,0.2904531887,0.76,2.06
427.9 ,"Cardiac dysrhythmia, unspecified",Diseases of the circulatory system,568,14,1.27,0.3515039739,0.68,2.22
535.00 ,"Acute gastritis, without mention...",Diseases of the digestive system,667,16,1.24,0.3861270781,0.69,2.09
787.0 ,Nausea and vomiting,"Comorbidities, signs, and ill-defined...",375,9,1.23,0.5660993484,0.55,2.42
531.90 ,"Gastric ulcer, unspecified as...",Diseases of the digestive system,167,4,1.22,0.5748449965,0.32,3.24
692.9 ,"Contact dermatitis and other eczema,...",Diseases of the skin and subcutaneous...,1201,28,1.22,0.3705064492,0.78,1.85
465.0 ,Acute laryngopharyngitis,Diseases of the respiratory system,349,8,1.17,0.692059275,0.49,2.39
786.2 ,Cough,"Comorbidities, signs, and ill-defined...",483,11,1.16,0.6122615188,0.57,2.16
788.2 ,Retention of urine,"Comorbidities, signs, and ill-defined...",177,4,1.15,0.7809242564,0.31,3.05
727.00 ,"Synovitis and tenosynovitis, unspecified",Diseases of the musculoskeletal...,312,7,1.14,0.677193136,0.45,2.44
821.00 ,Closed fracture of unspecified...,Injury and poisoning,180,4,1.13,0.7829968996,0.3,2.99
414.9 ,"Chronic ischemic heart disease,...",Diseases of the circulatory system,918,20,1.12,0.6163312042,0.66,1.8
413.9 ,Other and unspecified angina pectoris,Diseases of the circulatory system,275,6,1.11,0.8237715734,0.4,2.5
894.0 ,Multiple and unspecified open...,Injury and poisoning,275,6,1.11,0.8237715734,0.4,2.5
349.9 ,Unspecified disorders of nervous...,Diseases of the nervous system,138,3,1.1,0.7548355486,0.22,3.35
437.9 ,Unspecified cerebrovascular disease,Diseases of the circulatory system,330,7,1.08,0.8388523267,0.42,2.29
724.2 ,Lumbago,Diseases of the musculoskeletal...,1041,22,1.08,0.7217770615,0.65,1.71
805.4 ,Closed fracture of lumbar vertebra...,Injury and poisoning,282,6,1.08,0.8262028222,0.39,2.43
386.00 ,"Minihre's disease, unspecified",Diseases of the nervous system,191,4,1.06,0.7919321739,0.28,2.81
