disease_2,disease_name,category,count,co_occurrence,odds_ratio,p_value,95_ci_lower,95_ci_upper
891.0 ,"Open wound of knee, leg [except...",Injury and poisoning,189,27,5.44,0.00000000005375081,3.41,8.4
682.9 ,Cellulitis and abscess of unspecified...,Diseases of the skin and subcutaneous...,393,45,4.45,0.00000000000004633867,3.1,6.27
686.9 ,Unspecified local infection of...,Diseases of the skin and subcutaneous...,483,47,3.7,0.000000000004960634,2.6,5.16
873.40 ,"Open wound of face, unspecified...",Injury and poisoning,191,19,3.49,0.0000118238,2.02,5.73
698.9 ,Unspecified pruritic disorder,Diseases of the skin and subcutaneous...,254,22,3.01,0.0000222121,1.82,4.76
686.8 ,Other specified local infections...,Diseases of the skin and subcutaneous...,214,18,2.88,0.0001818121,1.65,4.76
719.40 ,"Pain in joint, site unspecified",Diseases of the musculoskeletal...,367,30,2.88,0.0000022451937,1.87,4.29
386.00 ,"Minihre's disease, unspecified",Diseases of the nervous system,191,16,2.85,0.0004331306,1.57,4.85
848.9 ,Unspecified site of sprain and...,Injury and poisoning,360,29,2.82,0.0000044826258,1.82,4.23
709.9 ,Unspecified disorder of skin and...,Diseases of the skin and subcutaneous...,135,11,2.73,0.0041546684,1.31,5.14
715.36 ,"Osteoarthrosis, localized, not...",Diseases of the musculoskeletal...,264,21,2.73,0.0001179817,1.63,4.35
531.90 ,"Gastric ulcer, unspecified as...",Diseases of the digestive system,167,13,2.61,0.0028398062,1.34,4.68
558.9 ,Other and unspecified noninfectious...,Diseases of the digestive system,1234,81,2.57,0.00000000007531033,1.94,3.38
564.8 ,Other specified function disorder...,Diseases of the digestive system,198,15,2.55,0.0018111272,1.38,4.39
727.00 ,"Synovitis and tenosynovitis, unspecified",Diseases of the musculoskeletal...,312,23,2.52,0.0002062586,1.54,3.94
372.30 ,"Conjunctivitis, unspecified",Diseases of the nervous system,534,38,2.51,0.0000031246,1.71,3.59
821.00 ,Closed fracture of unspecified...,Injury and poisoning,180,13,2.4,0.0079605137,1.24,4.3
276.5 ,Volume depletion,"Endocrine, nutritional and metabolic...",138,10,2.4,0.0135720581,1.11,4.62
782.3 ,Edema,"Comorbidities, signs, and ill-defined...",785,52,2.39,0.00000036503152,1.72,3.28
724.5 ,"Backache, unspecified",Diseases of the musculoskeletal...,716,47,2.34,0.0000021264888,1.65,3.25
729.4 ,"Fasciitis, unspecified",Diseases of the musculoskeletal...,229,16,2.33,0.0034433865,1.29,3.95
571.40 ,"Chronic hepatitis, unspecified",Diseases of the digestive system,158,11,2.3,0.0184429066,1.11,4.3
787.0 ,Nausea and vomiting,"Comorbidities, signs, and ill-defined...",375,25,2.26,0.0004849246,1.41,3.47
721.3 ,Lumbosacral spondylosis without...,Diseases of the musculoskeletal...,462,30,2.22,0.0002094211,1.45,3.29
368.13 ,Visual discomfort,Diseases of the nervous system,134,9,2.2,0.0409343062,0.97,4.38
820.8 ,Closed fracture of unspecified...,Injury and poisoning,305,20,2.19,0.0024217594,1.3,3.52
461.9 ,"Acute sinusitis, unspecified",Diseases of the respiratory system,151,10,2.17,0.0307537202,1.01,4.18
490 ,"Bronchitis, not specified as acute...",Diseases of the respiratory system,421,27,2.17,0.0005630012,1.39,3.29
533.90 ,"Peptic ulcer of unspecified site,...",Diseases of the digestive system,676,42,2.17,0.000032669,1.51,3.05
724.2 ,Lumbago,Diseases of the musculoskeletal...,1041,62,2.16,0.0000012225105,1.59,2.91
733.00 ,"Osteoporosis, unspecified",Diseases of the musculoskeletal...,814,49,2.12,0.0000143234,1.51,2.93
785.1 ,Palpitations,"Comorbidities, signs, and ill-defined...",252,16,2.1,0.0096058196,1.16,3.55
372.11 ,Simple chronic conjunctivitis,Diseases of the nervous system,158,10,2.07,0.0368641832,0.96,3.97
460 ,Acute nasopharyngitis [common...,Diseases of the respiratory system,1113,63,2.04,0.0000062861635,1.5,2.74
465.9 ,Acute upper respiratory infections...,Diseases of the respiratory system,3599,163,2.04,0.00000000833348,1.59,2.63
463 ,Acute tonsillitis,Diseases of the respiratory system,378,23,2.03,0.0039706447,1.25,3.17
110.4 ,Dermatophytosis of foot,Infectious and parasitic diseases,178,11,2.02,0.0316230168,0.98,3.76
820.21 ,Closed fracture of intertrochanteric...,Injury and poisoning,195,12,2.01,0.0356513573,1.01,3.66
465.0 ,Acute laryngopharyngitis,Diseases of the respiratory system,349,21,2,0.0050326756,1.2,3.17
300.9 ,Unspecified nonpsychotic mental...,Mental disorders,230,14,2,0.0208999318,1.06,3.48
487.1 ,Influenza with other respiratory...,Diseases of the respiratory system,580,34,1.99,0.0005781412,1.33,2.9
715 ,Osteoarthrosis and allied disorders,Diseases of the musculoskeletal...,180,11,1.99,0.0493539843,0.96,3.72
715.96 ,"Osteoarthrosis, unspecified whether...",Diseases of the musculoskeletal...,150,9,1.95,0.0602077197,0.86,3.86
715.90 ,"Osteoarthrosis, unspecified whether...",Diseases of the musculoskeletal...,672,38,1.93,0.0005688989,1.32,2.75
429.9 ,"Heart disease, unspecified",Diseases of the circulatory system,206,12,1.9,0.0429693697,0.95,3.45
