disease_2,disease_name,category,count,co_occurrence,odds_ratio,p_value,95_ci_lower,95_ci_upper
155.2 ,"Malignant neoplasm of liver, not...",Neoplasms,2607,160,18.75,1.83833e-135,15.78,22.16
155.0 ,"Malignant neoplasm of liver, primary",Neoplasms,7476,401,18.53,< 0.0001,16.52,20.75
155 ,Malignant liver and intrahepatic...,Neoplasms,1813,83,13.22,2.116822e-60,10.43,16.56
239.0 ,Neoplasm of unspecified nature...,Neoplasms,2330,84,10.3,5.482624e-53,8.15,12.88
571.8 ,Other chronic nonalcoholic liver...,Diseases of the digestive system,4481,148,9.7,1.219052e-87,8.12,11.5
573.8 ,Other specified disorders of liver,Diseases of the digestive system,2273,63,7.77,1.398585e-33,5.92,10.02
789.5 ,Ascites,"Comorbidities, signs, and ill-defined...",1302,35,7.43,6.568316e-19,5.14,10.43
593.2 ,"Cyst of kidney, acquired",Diseases of the genitourinary...,4016,104,7.38,6.324449e-52,5.98,9.01
070.30 ,Viral hepatitis B without mention...,Infectious and parasitic diseases,4618,115,7.12,1.278047e-55,5.83,8.62
572.0 ,Abscess of liver,Diseases of the digestive system,1036,26,6.9,0.00000000000009348348,4.47,10.2
571.4 ,Chronic hepatitis,Diseases of the digestive system,23149,444,6.38,3.04658e-178,5.72,7.1
070.51 ,Acute hepatitis C without mention...,Infectious and parasitic diseases,4816,107,6.31,3.016128e-47,5.13,7.68
157.9 ,"Malignant neoplasm of pancreas,...",Neoplasms,1180,27,6.28,0.0000000000002717282,4.11,9.21
571.5 ,Cirrhosis of liver without mention...,Diseases of the digestive system,13086,269,6.27,1.13423e-111,5.49,7.14
571.40 ,"Chronic hepatitis, unspecified",Diseases of the digestive system,50438,725,5.49,6.86005e-232,5,6.03
574.20 ,Calculus of gallbladder without...,Diseases of the digestive system,11762,218,5.49,8.720724e-82,4.75,6.33
571.9 ,Unspecified chronic liver disease...,Diseases of the digestive system,8755,160,5.28,4.874766e-59,4.45,6.21
574.50 ,Calculus of bile duct without...,Diseases of the digestive system,2348,45,5.27,3.025015e-18,3.82,7.11
574 ,Cholelithiasis,Diseases of the digestive system,3775,69,5.07,4.897305e-26,3.92,6.47
576.1 ,Cholangitis,Diseases of the digestive system,2513,46,5.03,7.21665e-18,3.66,6.76
211.3 ,Benign neoplasm of colon,Neoplasms,6360,111,4.93,2.468216e-39,4.02,5.98
571.0 ,Alcoholic fatty liver,Diseases of the digestive system,1075,19,4.8,0.000000051710918,2.87,7.56
574.2 ,Calculus of gallbladder without...,Diseases of the digestive system,3089,53,4.73,3.678196e-19,3.52,6.22
573.9 ,Unspecified disorder of liver,Diseases of the digestive system,4237,70,4.58,6.245755e-24,3.55,5.82
070 ,Viral hepatitis,Infectious and parasitic diseases,1135,19,4.55,0.0000001185742,2.72,7.15
306.4 ,Gastrointestinal malfunction arising...,Mental disorders,2903,48,4.54,7.013102e-17,3.33,6.06
289.9 ,Unspecified diseases of blood...,Diseases of the blood and blood-forming...,1091,17,4.22,0.0000014095471,2.45,6.81
575.1 ,Other cholecystitis,Diseases of the digestive system,2157,33,4.17,0.00000000003347341,2.85,5.89
574.0 ,Calculus of gallbladder with acute...,Diseases of the digestive system,1516,23,4.12,0.000000034582828,2.6,6.22
571 ,Chronic liver disease and cirrhosis,Diseases of the digestive system,5915,86,4.04,2.164393e-25,3.21,5.03
574.5 ,Calculus of bile duct without...,Diseases of the digestive system,1235,18,3.95,0.000001778823,2.33,6.28
573.3 ,"Hepatitis, unspecified",Diseases of the digestive system,8593,117,3.82,1.288079e-31,3.14,4.62
229.9 ,Benign neoplasm of unspecified...,Neoplasms,1061,15,3.82,0.0000177623,2.13,6.35
070.9 ,Unspecified viral hepatitis without...,Infectious and parasitic diseases,4048,54,3.65,0.000000000000005886232,2.73,4.8
189.0 ,"Malignant neoplasm of kidney,...",Neoplasms,1264,17,3.64,0.0000095920696,2.11,5.86
577.1 ,Chronic pancreatitis,Diseases of the digestive system,1190,16,3.63,0.0000173743,2.07,5.94
