disease_2,disease_name,category,count,co_occurrence,odds_ratio,p_value,95_ci_lower,95_ci_upper
342.9 ,"Hemiplegia, unspecified",Diseases of the nervous system,961,371,9.55,4.24822e-186,8.35,10.91
438 ,Late effects of cerebrovascular...,Diseases of the circulatory system,13741,3223,6.57,< 0.0001,6.26,6.89
434.9 ,"Cerebral artery occlusion, unspecified",Diseases of the circulatory system,11955,2628,5.49,< 0.0001,5.22,5.78
431 ,Intracerebral hemorrhage,Diseases of the circulatory system,2515,641,5.31,1.83278e-207,4.84,5.83
331.4 ,Obstructive hydrocephalus,Diseases of the nervous system,524,132,4.98,1.35634e-42,4.05,6.08
290.40 ,"Vascular dementia, uncomplicated",Mental disorders,1012,252,4.96,5.98224e-79,4.27,5.73
434.0 ,Cerebral thrombosis,Diseases of the circulatory system,4835,1107,4.83,< 0.0001,4.49,5.19
507.0 ,Pneumonitis due to inhalation...,Diseases of the respiratory system,522,122,4.5,5.289613e-36,3.64,5.53
434.1 ,Cerebral embolism,Diseases of the circulatory system,2573,572,4.4,6.74829e-155,3.99,4.84
434 ,Occlusion of cerebral arteries,Diseases of the circulatory system,3605,786,4.38,6.42484e-209,4.03,4.76
345.90 ,"Epilepsy, unspecified, without...",Diseases of the nervous system,1023,222,4.13,2.800247e-58,3.53,4.8
430 ,Subarachnoid hemorrhage,Diseases of the circulatory system,733,156,4,2.794038e-40,3.33,4.79
331.3 ,Communicating hydrocephalus,Diseases of the nervous system,710,147,3.86,1.293029e-36,3.19,4.64
437.9 ,Unspecified cerebrovascular disease,Diseases of the circulatory system,7611,1382,3.67,3.45221e-288,3.44,3.91
433.1 ,Carotid artery occlusion and stenosis,Diseases of the circulatory system,523,99,3.44,3.80298e-22,2.73,4.29
290.9 ,Unspecified senile psychotic condition,Mental disorders,1426,263,3.37,4.156179e-54,2.93,3.87
787.2 ,Dysphagia,"Comorbidities, signs, and ill-defined...",916,165,3.25,3.475725e-33,2.72,3.86
437.8 ,Other ill-defined cerebrovascular...,Diseases of the circulatory system,1017,179,3.16,1.504236e-34,2.67,3.73
294.1 ,Dementia in conditions classified...,Mental disorders,823,144,3.13,8.054977e-28,2.59,3.76
707.0 ,Decubitus ulcer,Diseases of the skin and subcutaneous...,2839,469,3,1.252314e-79,2.7,3.32
780.3 ,Convulsions,"Comorbidities, signs, and ill-defined...",977,165,3,7.891208e-30,2.52,3.56
331.9 ,"Cerebral degeneration, unspecified",Diseases of the nervous system,613,101,2.9,6.244824e-18,2.32,3.6
437.0 ,Cerebral atherosclerosis,Diseases of the circulatory system,4239,665,2.86,5.72613e-103,2.62,3.12
332.0 ,Paralysis agitans,Diseases of the nervous system,5471,836,2.81,7.72524e-124,2.6,3.03
306.8 ,Other specified psychophysiological...,Mental disorders,601,96,2.79,2.196759e-16,2.22,3.49
290.0 ,"Senile dementia, uncomplicated",Mental disorders,7256,1078,2.77,6.18324e-153,2.58,2.97
780.0 ,Alteration of consciousness,"Comorbidities, signs, and ill-defined...",1900,297,2.77,1.670342e-45,2.43,3.14
250.9 ,Diabetes with unspecified complication,"Endocrine, nutritional and metabolic...",1357,212,2.75,7.832129e-33,2.36,3.19
038.9 ,Unspecified septicemia,Infectious and parasitic diseases,4258,646,2.74,1.501925e-93,2.51,2.99
290 ,Senile and presenile organic psychotic...,Mental disorders,2342,359,2.71,5.370095e-53,2.41,3.05
251.2 ,"Hypoglycemia, unspecified","Endocrine, nutritional and metabolic...",722,112,2.7,8.568278e-18,2.19,3.31
276.1 ,Hyposmolality and/or hyponatremia,"Endocrine, nutritional and metabolic...",1122,171,2.66,1.289947e-25,2.24,3.13
331.0 ,Alzheimer's disease,Diseases of the nervous system,1193,182,2.66,4.134203e-27,2.26,3.13
435.9 ,Unspecified transient cerebral...,Diseases of the circulatory system,2643,396,2.65,8.853422e-56,2.37,2.96
331.2 ,Senile degeneration of brain,Diseases of the nervous system,767,116,2.62,1.415308e-17,2.13,3.2
332.1 ,Secondary parkinsonism,Diseases of the nervous system,3170,467,2.61,1.637289e-63,2.35,2.89
294.9 ,Unspecified persistent mental...,Mental disorders,844,126,2.58,1.685725e-18,2.12,3.13
718.40 ,"Contracture of joint, site unspecified",Diseases of the musculoskeletal...,516,77,2.57,0.000000000006925808,1.99,3.29
437 ,Other and ill-defined cerebrovascular...,Diseases of the circulatory system,2000,291,2.54,8.526632e-39,2.23,2.88
435 ,Transient cerebral ischemia,Diseases of the circulatory system,576,85,2.54,0.000000000001202205,1.99,3.21
518.81 ,Acute respiratory failure,Diseases of the respiratory system,2703,381,2.46,4.05281e-47,2.2,2.75
344.61 ,Cauda equina syndrome with neurogenic...,Diseases of the nervous system,771,109,2.42,0.00000000000001428331,1.96,2.97
401.0 ,Malignant essential hypertension,Diseases of the circulatory system,2752,381,2.41,2.150998e-45,2.15,2.69
532.9 ,"Duodenal ulcer, unspecified as...",Diseases of the digestive system,865,121,2.39,0.00000000000000145854,1.96,2.91
437.1 ,Other generalized ischemic cerebrovascular...,Diseases of the circulatory system,575,80,2.37,0.0000000001051434,1.85,3.01
290.2 ,Senile dementia with delusional...,Mental disorders,597,83,2.37,0.00000000004463104,1.85,3
435.0 ,Basilar artery syndrome,Diseases of the circulatory system,1217,166,2.33,7.956802e-20,1.96,2.75
433.2 ,Occlusion and stenosis of vertebral...,Diseases of the circulatory system,605,82,2.3,0.0000000002043217,1.8,2.91
250.90 ,"Diabetes with unspecified complication,...","Endocrine, nutritional and metabolic...",5131,671,2.3,4.574057e-70,2.11,2.5
854.0 ,Intracranial injury of other and...,Injury and poisoning,613,82,2.27,0.0000000004449268,1.77,2.87
725 ,Polymyalgia rheumatica,Diseases of the musculoskeletal...,518,69,2.25,0.000000013151105,1.72,2.91
486 ,"Pneumonia, organism unspecified",Diseases of the respiratory system,17264,2032,2.24,6.08526e-176,2.13,2.36
250.6 ,Diabetes with neurological manifestations,"Endocrine, nutritional and metabolic...",886,116,2.21,0.0000000000005363683,1.8,2.7
401.9 ,Unspecified essential hypertension,Diseases of the circulatory system,53835,5010,2.2,3.74601e-269,2.1,2.3
298.9 ,Unspecified psychosis,Mental disorders,729,95,2.2,0.00000000008980263,1.75,2.74
332 ,Parkinson's disease,Diseases of the nervous system,1912,244,2.17,2.553285e-24,1.88,2.49
854.00 ,Intracranial injury of other and...,Injury and poisoning,1946,247,2.15,2.56685e-24,1.87,2.47
596.5 ,Other functional disorders of...,Diseases of the genitourinary...,2611,329,2.15,1.912357e-31,1.9,2.42
290.10 ,"Presenile dementia, uncomplicated",Mental disorders,598,76,2.13,0.00000001974955,1.65,2.72
854.01 ,Intracranial injury of other and...,Injury and poisoning,926,116,2.1,0.000000000008526445,1.72,2.56
780.6 ,Fever,"Comorbidities, signs, and ill-defined...",14244,1633,2.1,1.45025e-126,1.98,2.22
799.1 ,Respiratory arrest,"Comorbidities, signs, and ill-defined...",734,91,2.08,0.0000000023500789,1.65,2.59
427.3 ,Atrial fibrillation and flutter,Diseases of the circulatory system,797,99,2.08,0.0000000004219199,1.67,2.58
133.0 ,Scabies,Infectious and parasitic diseases,3554,433,2.08,1.568711e-37,1.87,2.31
560.1 ,Paralytic ileus,Diseases of the digestive system,1660,204,2.07,9.762276e-19,1.78,2.4
590.9 ,"Infection of kidney, unspecified",Diseases of the genitourinary...,625,77,2.06,0.000000067393528,1.6,2.62
780.2 ,Syncope and collapse,"Comorbidities, signs, and ill-defined...",4244,510,2.06,1.440827e-42,1.87,2.26
578.0 ,Hematemesis,Diseases of the digestive system,629,77,2.05,0.000000075132739,1.59,2.6
290.3 ,Senile dementia with delirium,Mental disorders,691,84,2.03,0.000000022741154,1.59,2.56
307.41 ,Transient disorder of initiating...,Mental disorders,1134,137,2.02,0.000000000002054801,1.68,2.42
357.2 ,Polyneuropathy in diabetes,Diseases of the nervous system,795,96,2.02,0.0000000039478956,1.61,2.5
411.1 ,Intermediate coronary syndrome,Diseases of the circulatory system,889,107,2.01,0.0000000005936492,1.62,2.47
599 ,Other disorders of urethra and...,Diseases of the genitourinary...,1509,180,2,0.000000000000002436156,1.7,2.34
429.9 ,"Heart disease, unspecified",Diseases of the circulatory system,4096,475,1.97,6.930829e-36,1.78,2.17
530.2 ,Ulcer of esophagus,Diseases of the digestive system,1461,172,1.97,0.00000000000002850755,1.67,2.31
038 ,Septicemia,Infectious and parasitic diseases,1536,179,1.94,0.00000000000002391653,1.65,2.28
272.9 ,Unspecified disorder of lipoid...,"Endocrine, nutritional and metabolic...",572,67,1.94,0.0000029301481,1.48,2.51
788.3 ,Incontinence of urine,"Comorbidities, signs, and ill-defined...",4084,463,1.92,1.277966e-32,1.73,2.12
716.98 ,"Arthropathy, unspecified, other...",Diseases of the musculoskeletal...,804,93,1.92,0.000000046743555,1.53,2.39
276.9 ,Electrolyte and fluid disorders...,"Endocrine, nutritional and metabolic...",1352,156,1.92,0.000000000001908471,1.61,2.27
728.2 ,"Muscular wasting and disuse atrophy,...",Diseases of the musculoskeletal...,553,64,1.92,0.0000071607209,1.45,2.49
599.0 ,"Urinary tract infection, site...",Diseases of the genitourinary...,20951,2161,1.91,5.92165e-123,1.81,2.01
386.2 ,Vertigo of central origin,Diseases of the nervous system,2798,318,1.9,7.133305e-23,1.69,2.15
276.7 ,Hyperpotassemia,"Endocrine, nutritional and metabolic...",560,64,1.89,0.0000086223384,1.43,2.46
780 ,General symptoms,"Comorbidities, signs, and ill-defined...",907,103,1.88,0.000000026463764,1.51,2.31
578.9 ,Hemorrhage of gastrointestinal...,Diseases of the digestive system,6518,714,1.87,3.967628e-45,1.72,2.03
435.1 ,Vertebral artery syndrome,Diseases of the circulatory system,1299,146,1.86,0.00000000008406343,1.55,2.22
482.9 ,"Bacterial pneumonia, unspecified",Diseases of the respiratory system,1735,194,1.86,0.00000000000008390149,1.59,2.16
785.50 ,"Shock, unspecified","Comorbidities, signs, and ill-defined...",605,68,1.85,0.0000085539636,1.42,2.39
402.1 ,"Hypertensive heart disease, benign",Diseases of the circulatory system,1348,150,1.84,0.00000000008857345,1.54,2.19
427.31 ,Atrial fibrillation,Diseases of the circulatory system,4553,497,1.84,5.322005e-31,1.67,2.02
386.1 ,Other and unspecified peripheral...,Diseases of the nervous system,1327,147,1.83,0.0000000001959607,1.53,2.18
402.00 ,Malignant hypertensive heart disease...,Diseases of the circulatory system,1662,184,1.83,0.000000000001107221,1.56,2.14
250.0 ,Diabetes Mellitus w/m of complication,"Endocrine, nutritional and metabolic...",5359,581,1.83,1.910665e-35,1.67,2
276.8 ,Hypopotassemia,"Endocrine, nutritional and metabolic...",1246,138,1.83,0.0000000007476919,1.52,2.19
290.20 ,Senile dementia with delusional...,Mental disorders,1426,158,1.83,0.00000000003348127,1.54,2.17
250.4 ,Diabetes with renal manifestations,"Endocrine, nutritional and metabolic...",723,80,1.82,0.0000027697673,1.43,2.31
726.0 ,Adhesive capsulitis of shoulder,Diseases of the musculoskeletal...,3328,363,1.82,8.574575e-23,1.63,2.04
596.4 ,Atony of bladder,Diseases of the genitourinary...,982,108,1.81,0.000000064468048,1.47,2.22
250.60 ,"Diabetes with neurological manifestations,...","Endocrine, nutritional and metabolic...",2723,297,1.81,6.490586e-19,1.6,2.05
401.1 ,Benign essential hypertension,Diseases of the circulatory system,10959,1139,1.8,2.526061e-61,1.68,1.92
276.5 ,Volume depletion,"Endocrine, nutritional and metabolic...",1589,172,1.79,0.00000000003052961,1.51,2.1
786.09 ,Other respiratory abnormalities,"Comorbidities, signs, and ill-defined...",3513,373,1.77,1.700342e-21,1.58,1.97
873.42 ,"Open wound of forehead, without...",Injury and poisoning,864,93,1.77,0.0000012929731,1.41,2.2
411.0 ,Postmyocardial infarction syndrome,Diseases of the circulatory system,538,58,1.77,0.0001311836,1.32,2.33
009 ,Ill-defined intestinal infections,Infectious and parasitic diseases,650,70,1.77,0.0000261694,1.36,2.27
346 ,Migraine,Diseases of the nervous system,519,56,1.77,0.0001488658,1.32,2.34
780.59 ,Other sleep disturbances,"Comorbidities, signs, and ill-defined...",1097,118,1.77,0.000000057494781,1.45,2.15
780.9 ,Other general symptoms,"Comorbidities, signs, and ill-defined...",2390,256,1.77,0.000000000000001493519,1.55,2.02
820.8 ,Closed fracture of unspecified...,Injury and poisoning,1684,180,1.76,0.00000000002878801,1.5,2.06
