disease_2,disease_name,category,count,co_occurrence,odds_ratio,p_value,95_ci_lower,95_ci_upper
780.2 ,Syncope and collapse,"Comorbidities, signs, and ill-defined...",125,42,3.51,0.000000002105549,2.34,5.2
724.3 ,Sciatica,Diseases of the musculoskeletal...,134,44,3.4,0.0000000019616637,2.29,4.98
708.9 ,"Urticaria, unspecified",Diseases of the skin and subcutaneous...,162,52,3.31,0.0000000002378738,2.31,4.71
729.4 ,"Fasciitis, unspecified",Diseases of the musculoskeletal...,123,39,3.2,0.000000073135642,2.11,4.79
789.0 ,Abdominal pain,"Comorbidities, signs, and ill-defined...",693,191,3.18,1.218291e-28,2.6,3.87
564.1 ,Irritable bowel syndrome,Diseases of the digestive system,239,70,2.95,0.00000000001204548,2.17,3.98
386.00 ,"Minihre's disease, unspecified",Diseases of the nervous system,107,32,2.92,0.000003660428,1.85,4.51
535.50 ,"Unspecified gastritis and gastroduodenitis,...",Diseases of the digestive system,330,93,2.87,0.00000000000004309816,2.19,3.73
466.1 ,Acute bronchiolitis,Diseases of the respiratory system,99,29,2.82,0.0000161568,1.75,4.45
719.40 ,"Pain in joint, site unspecified",Diseases of the musculoskeletal...,174,50,2.81,0.000000030011302,1.96,3.98
465.9 ,Acute upper respiratory infections...,Diseases of the respiratory system,2019,401,2.77,2.044728e-31,2.32,3.31
465.0 ,Acute laryngopharyngitis,Diseases of the respiratory system,246,68,2.71,0.0000000006760983,1.99,3.66
715.36 ,"Osteoarthrosis, localized, not...",Diseases of the musculoskeletal...,129,36,2.65,0.0000072057172,1.74,3.98
848.9 ,Unspecified site of sprain and...,Injury and poisoning,142,39,2.6,0.0000035190244,1.73,3.84
724.2 ,Lumbago,Diseases of the musculoskeletal...,450,116,2.59,0.00000000000002350703,2.04,3.27
536.8 ,Dyspepsia and other specified...,Diseases of the digestive system,438,112,2.55,0.0000000000001298592,2,3.23
466.0 ,Acute bronchitis,Diseases of the respiratory system,1078,245,2.55,1.571136e-23,2.12,3.05
716.90 ,"Arthropathy, unspecified, site...",Diseases of the musculoskeletal...,195,52,2.53,0.00000021680378,1.78,3.54
531.90 ,"Gastric ulcer, unspecified as...",Diseases of the digestive system,145,39,2.53,0.0000075269606,1.68,3.72
780.4 ,Dizziness and giddiness,"Comorbidities, signs, and ill-defined...",956,221,2.52,9.97105e-22,2.09,3.04
564.0 ,Constipation,Diseases of the digestive system,1528,319,2.51,7.310533e-26,2.11,2.99
490 ,"Bronchitis, not specified as acute...",Diseases of the respiratory system,321,83,2.5,0.000000000192162,1.89,3.28
780.7 ,Malaise and fatigue,"Comorbidities, signs, and ill-defined...",332,85,2.47,0.0000000002075483,1.88,3.23
402.10 ,Benign hypertensive heart disease...,Diseases of the circulatory system,155,41,2.47,0.0000055212612,1.67,3.6
461.9 ,"Acute sinusitis, unspecified",Diseases of the respiratory system,113,30,2.46,0.0001037008,1.55,3.81
780.5 ,Sleep disturbance,"Comorbidities, signs, and ill-defined...",142,37,2.41,0.0000238162,1.59,3.58
787.0 ,Nausea and vomiting,"Comorbidities, signs, and ill-defined...",159,41,2.39,0.0000120505,1.61,3.47
285.9 ,"Anemia, unspecified",Diseases of the blood and blood-forming...,253,64,2.38,0.000000083669254,1.74,3.22
786.50 ,"Chest pain, unspecified","Comorbidities, signs, and ill-defined...",148,38,2.36,0.0000315766,1.57,3.49
786.2 ,Cough,"Comorbidities, signs, and ill-defined...",290,72,2.34,0.000000026241996,1.74,3.11
535.00 ,"Acute gastritis, without mention...",Diseases of the digestive system,342,84,2.33,0.0000000033228269,1.77,3.04
686.9 ,Unspecified local infection of...,Diseases of the skin and subcutaneous...,236,59,2.33,0.0000004843643,1.68,3.19
780.52 ,"Insomnia, unspecified","Comorbidities, signs, and ill-defined...",385,94,2.33,0.0000000004360264,1.8,3.01
133.0 ,Scabies,Infectious and parasitic diseases,106,27,2.31,0.0006402093,1.42,3.66
724.5 ,"Backache, unspecified",Diseases of the musculoskeletal...,330,80,2.28,0.00000001470276,1.72,2.99
692.9 ,"Contact dermatitis and other eczema,...",Diseases of the skin and subcutaneous...,823,183,2.26,0.000000000000001429514,1.85,2.74
884.0 ,Multiple and unspecified open...,Injury and poisoning,108,27,2.26,0.000743349,1.39,3.56
462 ,Acute pharyngitis,Diseases of the respiratory system,262,64,2.26,0.0000004000877,1.66,3.06
487.1 ,Influenza with other respiratory...,Diseases of the respiratory system,293,71,2.25,0.000000092195749,1.68,3
698.9 ,Unspecified pruritic disorder,Diseases of the skin and subcutaneous...,221,54,2.24,0.0000031341448,1.6,3.11
536.9 ,Unspecified functional disorder...,Diseases of the digestive system,814,179,2.21,0.00000000000001130596,1.81,2.68
729.1 ,"Myalgia and myositis, unspecified",Diseases of the musculoskeletal...,281,67,2.2,0.00000041093406,1.62,2.95
465.8 ,Acute upper respiratory infections...,Diseases of the respiratory system,194,47,2.2,0.0000176873,1.53,3.12
564.9 ,Unspecified functional disorder...,Diseases of the digestive system,465,107,2.17,0.0000000007811973,1.7,2.76
571.40 ,"Chronic hepatitis, unspecified",Diseases of the digestive system,146,35,2.15,0.0002659013,1.41,3.2
