disease_2,disease_name,category,count,co_occurrence,odds_ratio,p_value,95_ci_lower,95_ci_upper
788.2 ,Retention of urine,"Comorbidities, signs, and ill-defined...",291,242,16.7,1.127269e-97,12.13,23.37
788.1 ,Dysuria,"Comorbidities, signs, and ill-defined...",103,86,14.98,2.521417e-34,8.78,26.99
599.7 ,Hematuria,Diseases of the genitourinary...,205,161,11.48,4.23922e-57,8.11,16.51
185 ,Malignant neoplasm of prostate,Neoplasms,116,85,8.08,2.280429e-26,5.26,12.68
595.9 ,"Cystitis, unspecified",Diseases of the genitourinary...,139,100,7.64,8.358082e-30,5.19,11.42
599.0 ,"Urinary tract infection, site...",Diseases of the genitourinary...,640,405,6.56,4.57931e-100,5.47,7.87
595.0 ,Acute cystitis,Diseases of the genitourinary...,149,90,4.48,1.229425e-18,3.16,6.37
300.00 ,"Anxiety state, unspecified",Mental disorders,170,96,3.81,4.378618e-17,2.76,5.27
780.5 ,Sleep disturbance,"Comorbidities, signs, and ill-defined...",142,74,3.14,0.00000000005090708,2.21,4.46
332.0 ,Paralysis agitans,Diseases of the nervous system,108,55,2.96,0.000000052830099,1.98,4.43
564.8 ,Other specified function disorder...,Diseases of the digestive system,128,64,2.87,0.000000010248771,1.98,4.15
402 ,Hypertensive heart disease,Diseases of the circulatory system,210,102,2.76,0.000000000003507112,2.07,3.68
564.0 ,Constipation,Diseases of the digestive system,1528,620,2.75,1.067118e-49,2.4,3.15
715.9 ,"Osteoarthrosis, unspecified whether...",Diseases of the musculoskeletal...,105,51,2.69,0.00000098758151,1.78,4.04
780.50 ,"Sleep disturbance, unspecified","Comorbidities, signs, and ill-defined...",105,51,2.69,0.00000098758151,1.78,4.04
582.9 ,Chronic glomerulonephritis with...,Diseases of the genitourinary...,123,59,2.63,0.00000024198683,1.8,3.83
780.52 ,"Insomnia, unspecified","Comorbidities, signs, and ill-defined...",385,177,2.58,9.695246e-18,2.08,3.21
414 ,Other forms of chronic ischemic...,Diseases of the circulatory system,126,59,2.51,0.00000094956811,1.73,3.64
372.1 ,Chronic conjunctivitis,Diseases of the nervous system,157,73,2.5,0.0000000552855,1.79,3.48
786.50 ,"Chest pain, unspecified","Comorbidities, signs, and ill-defined...",148,69,2.5,0.0000001142645,1.77,3.53
402.10 ,Benign hypertensive heart disease...,Diseases of the circulatory system,155,72,2.49,0.000000077408092,1.78,3.48
300.9 ,Unspecified nonpsychotic mental...,Mental disorders,104,48,2.43,0.0000143522,1.61,3.66
729.2 ,"Neuralgia, neuritis, and radiculitis,...",Diseases of the musculoskeletal...,195,89,2.43,0.0000000060614194,1.8,3.28
698.2 ,Prurigo,Diseases of the skin and subcutaneous...,168,76,2.37,0.00000010196535,1.71,3.28
401.1 ,Benign essential hypertension,Diseases of the circulatory system,237,106,2.36,0.0000000005602503,1.79,3.1
491.9 ,Unspecified chronic bronchitis,Diseases of the respiratory system,529,229,2.36,6.426681e-19,1.95,2.86
715.16 ,"Osteoarthrosis, localized, primary,...",Diseases of the musculoskeletal...,110,50,2.36,0.0000154533,1.58,3.52
494 ,Bronchiectasis,Diseases of the respiratory system,106,48,2.35,0.0000288525,1.56,3.52
427 ,Cardiac dysrhythmias,Diseases of the circulatory system,111,50,2.33,0.0000265004,1.56,3.46
715.36 ,"Osteoarthrosis, localized, not...",Diseases of the musculoskeletal...,129,58,2.33,0.0000061533637,1.6,3.36
285.9 ,"Anemia, unspecified",Diseases of the blood and blood-forming...,253,112,2.32,0.0000000004391851,1.78,3.02
724.3 ,Sciatica,Diseases of the musculoskeletal...,134,60,2.31,0.0000037631736,1.6,3.31
290 ,Senile and presenile organic psychotic...,Mental disorders,99,44,2.26,0.0001167165,1.48,3.44
733.00 ,"Osteoporosis, unspecified",Diseases of the musculoskeletal...,238,104,2.26,0.0000000042415899,1.71,2.96
401 ,Essential hypertension,Diseases of the circulatory system,250,109,2.25,0.0000000023780551,1.72,2.94
585 ,Chronic renal failure,Diseases of the genitourinary...,276,120,2.25,0.0000000003743049,1.74,2.9
366.10 ,"Senile cataract, unspecified",Diseases of the nervous system,343,147,2.22,0.000000000009869262,1.76,2.8
386.00 ,"Minihre's disease, unspecified",Diseases of the nervous system,107,47,2.22,0.0000870642,1.47,3.32
455.6 ,Unspecified hemorrhoids without...,Diseases of the circulatory system,114,50,2.21,0.0000566838,1.49,3.28
715.90 ,"Osteoarthrosis, unspecified whether...",Diseases of the musculoskeletal...,422,179,2.21,0.0000000000001164882,1.79,2.73
250.00 ,Diabetes mellitus without mention...,"Endocrine, nutritional and metabolic...",301,129,2.2,0.0000000002218068,1.72,2.81
533.9 ,"Peptic ulcer, site unspecified,...",Diseases of the digestive system,110,48,2.19,0.0001055046,1.46,3.27
290.0 ,"Senile dementia, uncomplicated",Mental disorders,315,134,2.18,0.0000000002138994,1.71,2.77
401.9 ,Unspecified essential hypertension,Diseases of the circulatory system,1178,456,2.18,1.66847e-26,1.88,2.51
463 ,Acute tonsillitis,Diseases of the respiratory system,212,91,2.17,0.00000016103502,1.62,2.9
